end,Revenues,NetIncomeLoss,Assets
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,48351000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,229234000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,48351000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
2017-09-30,52579000000.0,10714000000,375319000000.0
